职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
24秋招-游戏测试工程师,1万-1.2万,滨江,经验不限,本科,Python,北京能量盒科技有限公司,http://jobs.zhaopin.com/CC859129100J40491817609.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,10000.0,12000.0
nlp算法工程师,2万-3万,余杭,经验不限,本科,Python,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40494704416.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,20000.0,30000.0
生信工程师-工业蛋白质组学,1.4万-1.6万 · 15薪,钱塘,经验不限,硕士,基因测序、蛋白质组学、表观组学、R语言、Python,杭州景杰生物科技股份有限公司,http://jobs.zhaopin.com/CC408452810J40476546804.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,17500.0,20000.0
1688算法专家 (P6-p7),1.5万-3万,余杭,经验不限,本科,推荐算法、搜索算法、PyTorch、C++、Java、Python,道一(天津)企业管理咨询有限公司,http://jobs.zhaopin.com/CCL1447804550J40549686012.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,15000.0,30000.0
系统运维工程师,1万-1.5万,滨江,1-3年,本科,Python、SQL、MES系统、SIP封装,欣旺达电子,http://jobs.zhaopin.com/CC135947830J40489096111.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,10000.0,15000.0
人工智能系统管理工程师 (MJ000080),1.3万-2.5万 · 13薪,西湖,经验不限,硕士,PyTorch、TensorFlow、Python,西湖大学,http://jobs.zhaopin.com/CC830919920J40524166607.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,14083.333333333332,27083.333333333336
Go开发工程师（应届）,200-300/天,上城,经验不限,本科,Python、Shell,深圳支流科技有限公司,http://jobs.zhaopin.com/CC867513380J40510371309.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,4350.0,6525.0
Java开发（学信本~大数据经验优先）,1.7万-2万,萧山,3-5年,本科,Spring、MySQL,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40504170210.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,17000.0,20000.0
初级 杭州运维 (服务部) AI面试,9千-1万,滨江,3-5年,本科,企业微信、云盘、SHAREPOINT、系统运维、云运维、Shell、Python、C#,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40527982407.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,9000.0,10000.0
杭州JAVA开发（VSOC）,1.6万-1.9万,滨江,5-10年,大专,Python、Spring、MySQL、PostgreSQL、业务风控优先,上海澜码信息技术有限公司,http://jobs.zhaopin.com/CCL1465327550J40588829015.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,16000.0,19000.0
Java开发工程师,1.5万-2.9万 · 14薪,滨江,经验不限,本科,后端开发、SpringCloud、SpringBoot、SpringMVC、Java、Python,外企德科,http://jobs.zhaopin.com/CC138117190J40402761605.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,17500.0,33833.33333333333
股票量化研究员,8千-1.5万,拱墅,经验不限,大专,量化策略研究、风险模型研究、Python、C/C++、股票研究、程序化交易、量化交易、股票量化,杭州富平科技有限公司,http://jobs.zhaopin.com/CC283858430J40494911102.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,8000.0,15000.0
软件开发工程师,面议,滨江,经验不限,本科,C语言、Java、Python、C++、Shell、物联网、嵌入式软件开发、BSP开发,华为技术有限公司,http://jobs.zhaopin.com/CC000542940J40232238314.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,12919.836258254378,20824.214667671546
